第幾天,時間 (當日),絕對時間,出發地,目的地,出發地緯度,出發地經度,目的地緯度,目的地經度,事件,電量 (%),用時 (分),累積目標數
2,379.0 分,2025-12-02 15:19:00,【开鑫】重庆荣昌西南家具城充电站,亿嘉电西彭铝城大道充电站,29.416155,105.639508,29.31136,106.32822,Arrive 亿嘉电西彭铝城大道充电站,49.75,69.2,18
2,395.2 分,2025-12-02 15:35:12,亿嘉电西彭铝城大道充电站,完成測試 @ 亿嘉电西彭铝城大道充电站,29.31136,106.32822,29.31136,106.32822,Test Complete,54.75,16.2,19
2,469.9 分,2025-12-02 16:49:54,亿嘉电西彭铝城大道充电站,鲲鹏充电人民广场站,29.31136,106.32822,29.56992,106.42033,Arrive 鲲鹏充电人民广场站,49.90,74.7,19
2,583.8 分,2025-12-02 18:43:48,鲲鹏充电人民广场站,重庆解放碑威斯汀酒店,29.56992,106.42033,29.556163,106.580078,Day 2 End,44.42,113.9,19
3,0.0 分,2025-12-03 09:00:00,重庆解放碑威斯汀酒店,重庆解放碑威斯汀酒店,29.556163,106.580078,29.556163,106.580078,Day 3 Start (Overnight Discharge),27.97,0.0,19
3,22.8 分,2025-12-03 09:22:48,重庆解放碑威斯汀酒店,滨南时代I滨南股份站,29.556163,106.580078,29.869799,107.728429,Arrive 滨南时代I滨南股份站,27.28,22.8,19
3,39.1 分,2025-12-03 09:39:06,滨南时代I滨南股份站,完成測試 @ 滨南时代I滨南股份站,29.869799,107.728429,29.869799,107.728429,Test Complete,32.28,16.2,20
3,65.8 分,2025-12-03 10:05:48,滨南时代I滨南股份站,重庆茵莱国际轻充站,29.869799,107.728429,29.818827,106.991538,Arrive 重庆茵莱国际轻充站,31.08,26.7,20
3,82.0 分,2025-12-03 10:22:00,重庆茵莱国际轻充站,完成測試 @ 重庆茵莱国际轻充站,29.818827,106.991538,29.818827,106.991538,Test Complete,36.08,16.2,21
3,116.1 分,2025-12-03 10:56:06,重庆茵莱国际轻充站,土主大川国际建材城小马爱冲充电站,29.818827,106.991538,29.652929,106.380913,Arrive 土主大川国际建材城小马爱冲充电站,34.61,34.1,21
3,132.4 分,2025-12-03 11:12:24,土主大川国际建材城小马爱冲充电站,完成測試 @ 土主大川国际建材城小马爱冲充电站,29.652929,106.380913,29.652929,106.380913,Test Complete,39.61,16.2,22
3,165.2 分,2025-12-03 11:45:12,土主大川国际建材城小马爱冲充电站,易安桩新鹏达双福公交充电站,29.652929,106.380913,29.380064,106.273005,Arrive 易安桩新鹏达双福公交充电站,37.98,32.8,22
3,181.4 分,2025-12-03 12:01:24,易安桩新鹏达双福公交充电站,完成測試 @ 易安桩新鹏达双福公交充电站,29.380064,106.273005,29.380064,106.273005,Test Complete,42.98,16.2,23
3,209.0 分,2025-12-03 12:29:00,易安桩新鹏达双福公交充电站,渝快充丁家圆通充电站,29.380064,106.273005,30.764135,108.404779,Arrive 渝快充丁家圆通充电站,41.64,27.6,23
3,225.3 分,2025-12-03 12:45:18,渝快充丁家圆通充电站,完成測試 @ 渝快充丁家圆通充电站,30.764135,108.404779,30.764135,108.404779,Test Complete,46.64,16.2,24
3,265.0 分,2025-12-03 13:25:00,渝快充丁家圆通充电站,大雷永川长和星街充电站,30.764135,108.404779,29.402821,105.825294,Arrive 大雷永川长和星街充电站,45.24,39.7,24
3,281.2 分,2025-12-03 13:41:12,大雷永川长和星街充电站,完成測試 @ 大雷永川长和星街充电站,29.402821,105.825294,29.402821,105.825294,Test Complete,50.24,16.2,25
3,317.6 分,2025-12-03 14:17:36,大雷永川长和星街充电站,【开鑫】重庆荣昌西南家具城充电站,29.402821,105.825294,29.416155,105.639508,Arrive 【开鑫】重庆荣昌西南家具城充电站,48.24,36.3,25
3,333.8 分,2025-12-03 14:33:48,【开鑫】重庆荣昌西南家具城充电站,完成測試 @ 【开鑫】重庆荣昌西南家具城充电站,29.416155,105.639508,29.416155,105.639508,Test Complete,53.24,16.2,26
3,344.0 分,2025-12-03 14:44:00,【开鑫】重庆荣昌西南家具城充电站,鲲鹏充电人民广场站,29.416155,105.639508,29.56992,106.42033,Arrive 鲲鹏充电人民广场站,53.05,10.2,26
3,360.3 分,2025-12-03 15:00:18,鲲鹏充电人民广场站,完成測試 @ 鲲鹏充电人民广场站,29.56992,106.42033,29.56992,106.42033,Test Complete,58.05,16.2,27
3,583.8 分,2025-12-03 18:43:48,鲲鹏充电人民广场站,重庆解放碑威斯汀酒店,29.56992,106.42033,29.556163,106.580078,Day 3 End,52.57,223.6,27
4,0.0 分,2025-12-04 09:00:00,重庆解放碑威斯汀酒店,重庆解放碑威斯汀酒店,29.556163,106.580078,29.556163,106.580078,Day 4 Start (Overnight Discharge),27.97,0.0,27
4,181.8 分,2025-12-04 12:01:48,重庆解放碑威斯汀酒店,随时充万州区厦门大道充电站,29.556163,106.580078,29.517762,106.577819,Arrive 随时充万州区厦门大道充电站,15.08,181.8,27
4,198.0 分,2025-12-04 12:18:00,随时充万州区厦门大道充电站,完成測試 @ 随时充万州区厦门大道充电站,29.517762,106.577819,29.517762,106.577819,Test Complete,20.08,16.2,28
4,347.4 分,2025-12-04 14:47:24,随时充万州区厦门大道充电站,重庆巫山龙潭名都网约车超充站,29.517762,106.577819,29.818827,106.991538,Arrive 重庆巫山龙潭名都网约车超充站,10.76,149.4,28
4,363.7 分,2025-12-04 15:03:42,重庆巫山龙潭名都网约车超充站,完成測試 @ 重庆巫山龙潭名都网约车超充站,29.818827,106.991538,29.818827,106.991538,Test Complete,15.76,16.2,29
4,499.8 分,2025-12-04 17:19:48,重庆巫山龙潭名都网约车超充站,進行充電 @ Current Location,29.818827,106.991538,,,Emergency Charge (After Hours),31.60,136.2,29
4,900.3 分,2025-12-05 00:00:18,重庆巫山龙潭名都网约车超充站,重庆解放碑威斯汀酒店,29.818827,106.991538,29.556163,106.580078,Day 4 End,10.00,400.5,29
