provider_place_id,name,longitude,latitude,street,region,city,operator_name,num_dc_charge_points,num_ac_charge_points,max_dc_power,max_dc_amps,max_dc_volts,max_ac_power,max_ac_amps,max_ac_volts,typcn_count,typcndc_count,station_name,district,p_ingestday,Is_DC,Is_AC,Is_Mixed,Faulty_Station,station_type,brand_power_combination,station_type_str,dist_to_hotel_km
625911998_386915,快充 壳牌充电,104.018041,30.569124,大同路二段255号白家新能源汽车产业园,四川省,成都市,壳牌充电,34,0,120.0,,750.0,,,,,34.0,延长壳牌双流白家大市场充电站,双流区,2025-08-30,True,False,False,False,Ultra fast charging,壳牌充电 - Ultra fast charging,Ultra fast charging,4.090894425268652
MA04D0DUX_000000000165,慢充 太空充电,103.997993,30.571843,黄河中路二段和江东路交汇处,四川省,成都市,太空充电,0,37,,,,7.0,32.0,220.0,37.0,,双鱼座卫星超能舱（成都双流茂业广场）,双流区,2025-08-30,False,True,False,False,Slow AC,太空充电 - Slow AC,Slow AC,5.839609499025696
MA5GE23CX_1107,慢充 一码YiMa,103.995972,30.599422,,四川省,成都市,一码YiMa,0,3,,,,7.0,,,3.0,,成都武侯簇桥新苑一期,武侯区,2025-08-30,False,True,False,False,Slow AC,一码YiMa - Slow AC,Slow AC,6.1707418932902485
321895837_7483,快充 万马爱充,103.98439,30.59943,鞋都南一路1号航宸酒店外围,四川省,成都市,万马爱充,12,0,150.0,250.0,1000.0,,,,,12.0,航宸酒店充电站,武侯区,2025-08-30,True,False,False,False,High power charging,万马爱充 - High power charging,High power charging,7.237779536849617
MA69EGPK9_1354975662846517248,快充 卡丘聚能,103.98083,30.598127,鞋都南路77号,四川省,成都市,卡丘聚能,20,0,120.0,200.0,750.0,,,,,20.0,女鞋之都直流站,武侯区,2025-08-30,True,False,False,False,Ultra fast charging,卡丘聚能 - Ultra fast charging,Ultra fast charging,7.534646299477271
MA2KDUER1_91225981834248194,快充 极氪能源,103.999149,30.62193,聚龙路988号万达广场地下二层停车场K区493号车位旁,四川省,成都市,极氪能源,9,0,20.0,,,,,,,9.0,成都武侯万达轻充站,武侯区,2025-08-30,True,False,False,False,DC charging,极氪能源 - DC charging,DC charging,7.066650817843543
MA61Q02M3_210280910743533,快充 惠程科技,104.02578,30.61128,华泰五路南桥新居A区南侧约110米处（南桥垃圾压缩中转站新址停车场内）,四川省,成都市,惠程科技,24,0,80.0,260.0,1000.0,,,,,24.0,武侯区南桥垃圾中转站充电站,武侯区,2025-08-30,True,False,False,False,Fast charging,惠程科技 - Fast charging,Fast charging,4.370123243181724
MA008CB97_68,快充 特瓦特,104.029979,30.608052,科园南路1号,四川省,成都市,特瓦特,14,0,600.0,600.0,1000.0,,,,,14.0,特瓦特海特广场超充站,武侯区,2025-08-30,True,False,False,False,High power charging,特瓦特 - High power charging,High power charging,3.832866453472195
MA6DFCTD5_12,快充 小华充电,104.037577,30.619383,肖家河街道科园三路4号1栋火炬时代,四川省,成都市,小华充电,18,0,160.0,250.0,1000.0,,,,,18.0,小华充电火炬时代充电站,武侯区,2025-08-30,True,False,False,False,High power charging,小华充电 - High power charging,High power charging,4.467891272934883
MA020EMFX_51010702042001,快充 达克云,104.039621,30.61971,九兴大道3号,四川省,成都市,达克云,12,0,120.0,250.0,750.0,,,,,12.0,高新区九兴大道充电站,武侯区,2025-08-30,True,False,False,False,Ultra fast charging,达克云 - Ultra fast charging,Ultra fast charging,4.421103436981267
625911998_380866,快充 壳牌充电,104.030551,30.624344,长益路7号车海洋自助洗车,四川省,成都市,壳牌充电,36,0,180.0,,1000.0,,,,,36.0,延长壳牌武侯长益路充电站,武侯区,2025-08-30,True,False,False,False,High power charging,壳牌充电 - High power charging,High power charging,5.267527361284646
MAC4U4DU5_GSQ,快充 港投中油,104.038771,30.64138,高升桥路6号(高升桥地铁站D口步行380米),四川省,成都市,港投中油,16,0,120.0,200.0,1000.0,,,,,16.0,港投中油高升桥充电站,武侯区,2025-08-30,True,False,False,False,Ultra fast charging,港投中油 - Ultra fast charging,Ultra fast charging,6.728141560065551
313744932_384126,快充 星星充电,104.066332,30.628048,玉林街道国嘉·美领居华宇·蓉国府,四川省,成都市,星星充电,20,0,120.0,,750.0,,,,,20.0,卓安华宇蓉国府充电站,武侯区,2025-08-30,True,False,False,False,Ultra fast charging,星星充电 - Ultra fast charging,Ultra fast charging,5.070109988475418
MA002TMQX_510107MA002TMQX0019,快充 国家电网,104.074679,30.615079,棕树北街31号,四川省,成都市,国家电网,8,0,180.0,240.0,500.0,,,,,8.0,四川省成都市武侯区棕树桥充电站,武侯区,2025-08-30,True,False,False,False,High power charging,国家电网 - High power charging,High power charging,3.91666036158061
MABUL2CU6_1725010083252928514,快充 广汽能源,104.065683,30.602361,桂溪街道苏宁超市(苏宁广场店)苏宁广场负二楼011车位,四川省,成都市,广汽能源,6,0,360.0,250.0,1000.0,,,,,6.0,昊铂成都苏宁广场超充站,武侯区,2025-08-30,True,False,False,False,High power charging,广汽能源 - High power charging,High power charging,2.280140029919547
069795913_1551486959195549698,慢充 壹电蜀,104.083999,30.589183,三色路163号,四川省,成都市,壹电蜀,0,6,,,,7.0,,,6.0,,银海芯座地下充电站（不对外运营）,锦江区,2025-08-30,False,True,False,False,Slow AC,壹电蜀 - Slow AC,Slow AC,2.6184590290777345
MA1MY0GF9_106100,快充 云快充,104.092675,30.582717,锦华路三段521号锦美充电站,四川省,成都市,云快充,38,0,160.0,250.0,750.0,,,,,38.0,锦美充电站,锦江区,2025-08-30,True,False,False,False,High power charging,云快充 - High power charging,High power charging,3.359784829196648
niokdzzjs_NIO7341fe1949ebd1df,快充 蔚来,104.108676,30.563265,中和湿地公园东(朝阳横街北),四川省,成都市,蔚来,26,0,150.0,250.0,1000.0,,,,,26.0,成都中和湿地公园 蔚来超充站,双流区,2025-08-30,True,False,False,False,High power charging,蔚来 - High power charging,High power charging,5.364984647646082
MA7D8NAU7_10021,快充 幸福千万家,104.174674,30.550143,大面街道车城西三路333号,四川省,成都市,幸福千万家,80,0,360.0,300.0,1200.0,,,,,80.0,【幸福千万家】龙泉大面充电站,龙泉驿区,2025-08-30,True,False,False,False,High power charging,幸福千万家 - High power charging,High power charging,11.793955464050253
MA157AF20_15,快充 百源智联,104.190952,30.534374,龙泉经开区南五路86号,四川省,成都市,百源智联,18,0,120.0,260.0,950.0,,,,,18.0,成都市龙泉普洛斯,龙泉驿区,2025-08-30,True,False,False,False,Ultra fast charging,百源智联 - Ultra fast charging,Ultra fast charging,13.871373492760805
MA6ARPET9_5101120009,快充 蜀道新能源,104.198739,30.529781,经济技术开发区（龙泉驿区）南四路323号,四川省,成都市,蜀道新能源,20,0,180.0,250.0,1000.0,,,,,20.0,成渝电走廊暨换电重卡龙泉项目配套充电站,龙泉驿区,2025-08-30,True,False,False,False,High power charging,蜀道新能源 - High power charging,High power charging,14.758586438894314
MA5DT8Q54_5101220011,快充 南网电动,104.173313,30.525038,双流区新兴街道天工大道998号万纬成都天府物流园,四川省,成都市,南网电动,40,0,180.0,240.0,750.0,,,,,40.0,万纬成都天府物流园充电站,双流区,2025-08-30,True,False,False,False,High power charging,南网电动 - High power charging,High power charging,12.824338822123426
niokdzzjs_NIObdbbfac7efdb3f7c,快充 蔚来,104.108826,30.632685,双桂路街道汇泉东路86号四川省成都市七中育才学校,四川省,成都市,蔚来,18,0,120.0,250.0,1000.0,,,,,18.0,成都汇泉东路 蔚来超充站,锦江区,2025-08-30,True,False,False,False,Ultra fast charging,蔚来 - Ultra fast charging,Ultra fast charging,7.381036244092872
MA680GDD8_17347,慢充 码上充,104.126483,30.648197,万年场街道长天路东一巷成华区宪法主题街区,四川省,成都市,码上充,0,9,,,,7.0,32.0,220.0,9.0,,万年场交流充电桩,成华区,2025-08-30,False,True,False,False,Slow AC,码上充 - Slow AC,Slow AC,9.793220238189544
MA59G0765_86031,快充 蔚景云,104.087462,30.647554,锦官驿街道时代8号(东大街芷泉段),四川省,成都市,蔚景云,48,0,250.0,320.0,750.0,,,,,48.0,成都时代8号无诤极速充,锦江区,2025-08-30,True,False,False,False,High power charging,蔚景云 - High power charging,High power charging,7.718652200293764
MABUL2CU6_1698872112812523521,快充 广汽能源,104.079598,30.658311,王府井百货(总府路店)负二楼停车场,四川省,成都市,广汽能源,4,0,120.0,250.0,1000.0,,,,,4.0,昊铂成都王府井百货总府路店超充站,锦江区,2025-08-30,True,False,False,False,Ultra fast charging,广汽能源 - Ultra fast charging,Ultra fast charging,8.62677640816156
MA1Y01PP6_20221019100609474411,快充 江苏鲸充,104.072079,30.66,青羊区提督街120号地上停车场,四川省,成都市,江苏鲸充,20,0,60.0,220.0,750.0,,,,,20.0,【鲸充】锦江区提督街120号站,青羊区,2025-08-30,True,False,False,False,Fast charging,江苏鲸充 - Fast charging,Fast charging,8.665138478825266
MA2274PG1_4654516401549913628,快充 速充充电,104.041601,30.675387,永陵路31号西姆漫居酒店停车场,四川省,成都市,速充充电,10,0,60.0,80.0,750.0,,,,,10.0,大石代西姆酒店充电站,金牛区,2025-08-30,True,False,False,False,Fast charging,速充充电 - Fast charging,Fast charging,10.377548056150468
MA1FP0228_12372,快充 安悦充电,104.032718,30.698792,花照壁街西顺街399号西宸天街B2 869-872车位,四川省,成都市,安悦充电,6,0,120.0,160.0,750.0,,,,,6.0,西宸龙湖天街飞凡汽车快充站,金牛区,2025-08-30,True,False,False,False,Ultra fast charging,安悦充电 - Ultra fast charging,Ultra fast charging,13.084827578241548
MA6ARPET9_5101070006,快充 蜀道新能源,104.003824,30.651658,晋阳路,四川省,成都市,蜀道新能源,20,0,120.0,250.0,1000.0,,,,,20.0,万贯商城充电站项目,武侯区,2025-08-30,True,False,False,False,Ultra fast charging,蜀道新能源 - Ultra fast charging,Ultra fast charging,9.198572592039662
MABTWT5Y0_7172,快充 能银链,103.948746,30.733626,合作街道新创路28号四川金网通电子科技有限公司(西源大道),四川省,成都市,能银链,40,0,600.0,600.0,1000.0,,,,,40.0,AI快充成都高新西区金网通充电站,郫都区,2025-08-30,True,False,False,False,High power charging,能银链 - High power charging,High power charging,19.713128330400185
MA6DFCTD5_5,快充 小华充电,104.046787,30.761613,云快充汽车充电站(小华高堆路充电站),四川省,成都市,小华充电,26,0,120.0,250.0,750.0,,,,,26.0,小华充电高堆路充电站,新都区,2025-08-30,True,False,False,False,Ultra fast charging,小华充电 - Ultra fast charging,Ultra fast charging,19.87903119811812
MA020EMFX_51011400659003,快充 达克云,104.12615,30.79829,物流大道西端30号,四川省,成都市,达克云,30,0,160.0,160.0,1000.0,,,,,30.0,【AI快充】四川新都兴跃物流充电站,新都区,2025-08-30,True,False,False,False,High power charging,达克云 - High power charging,High power charging,24.812493240288408
MAC3JRJ77_MAC3JRJ7724060000768,快充 库仑,104.139898,30.79915,桂湖街道兴城大道995-附40号锦水苑社区,四川省,成都市,库仑,40,0,120.0,250.0,1000.0,,,,,40.0,大充新都锦水苑充电站,新都区,2025-08-30,True,False,False,False,Ultra fast charging,库仑 - Ultra fast charging,Ultra fast charging,25.282644883003247
MA49QNME1_1787660907303219202,快充 三峡小充,104.02668,30.846674,新繁街道会展大道466号西部康养医疗器械城,四川省,成都市,三峡小充,51,0,120.0,250.0,1000.0,,,,,51.0,长峡快道（西部康养城站）,新都区,2025-08-30,True,False,False,False,Ultra fast charging,三峡小充 - Ultra fast charging,Ultra fast charging,29.459051311323513
MA5DLDKY3_1674,快充 润诚达,104.265425,30.882726,四川省成都市青白江区凤祥大道,四川省,成都市,润诚达,20,0,120.0,100.0,1000.0,,,,,20.0,蓝电快充运贸充电站,青白江区,2025-08-30,True,False,False,False,Ultra fast charging,润诚达 - Ultra fast charging,Ultra fast charging,38.79200735876684
711887285_5101121313,快充 中电思极能,104.29975,30.59618,安街道阳光南路324号,四川省,成都市,中电思极能,20,0,120.0,250.0,750.0,,,,,20.0,极能充标榜学院二期充电站,龙泉驿区,2025-08-30,True,False,False,False,Ultra fast charging,中电思极能 - Ultra fast charging,Ultra fast charging,23.226370912695018
MA002TMQX_510116MA002TMQX0011,快充 国家电网,103.973934,30.552121,西航港物流大道866号,四川省,成都市,国家电网,8,0,120.0,250.0,750.0,,,,,8.0,国网成都双流西航港物流大道城市公共直流站,双流区,2025-08-30,True,False,False,False,Ultra fast charging,国家电网 - Ultra fast charging,Ultra fast charging,8.7169140644151
MA62BB9QX_5101220006,快充 领充创享,103.925312,30.558314,成都市双流区东升街道新鸿北路1段9号,四川省,成都市,领充创享,42,0,360.0,1200.0,1000.0,,,,,42.0,领充双流示范充电站,双流区,2025-08-30,True,False,False,False,High power charging,领充创享 - High power charging,High power charging,12.95916635514824
MA020EMFX_51011602210011,慢充 达克云,104.087735,30.231394,眉山市仁寿县环天府新区快速通道与环天中路交叉口东北方向245米,四川省,成都市,达克云,0,17,,,,7.0,32.0,220.0,17.0,,中兢锦绣天城充电站1,仁寿县,2025-08-30,False,True,False,False,Slow AC,达克云 - Slow AC,Slow AC,39.2123115831847
MACYCXCNX_7039944A64B64ADFA6979325144A9E84,快充 愉秒充,104.407791,30.316427,锦上宾馆东南100米地面停车场(简三路东),四川省,成都市,愉秒充,10,0,120.0,250.0,1000.0,,,,,10.0,愉秒充成都简阳龙湾充电站,简阳市,2025-08-30,True,False,False,False,Ultra fast charging,愉秒充 - Ultra fast charging,Ultra fast charging,44.78976641807911
MA68GEA63_125,快充 亿谦电子,103.490846,30.210154,四川省成都市蒲江县,四川省,成都市,亿谦电子,2,0,120.0,120.0,750.0,,,,,2.0,蒲江亿谦充电站3号桩,蒲江县,2025-08-30,True,False,False,False,Ultra fast charging,亿谦电子 - Ultra fast charging,Ultra fast charging,68.36712320260642
MA6ABC9W9_568,快充 太能充,103.483068,30.526396,"-成都市-大邑县,镇S8成名高速辅路中国石油加油站",四川省,成都市,太能充,6,0,60.0,80.0,60.0,,,,,6.0,大邑县铭奇快速充电站,大邑县,2025-08-30,True,False,False,False,Fast charging,太能充 - Fast charging,Fast charging,55.372188436911976
MABTWT5Y0_7082_hccn,快充 能银链,103.629079,31.005807,灌口街道四川旅投·锦弘国堰宾馆,四川省,成都市,能银链,12,0,120.0,250.0,1000.0,,,,,12.0,国堰宾馆充电站,都江堰市,2025-08-30,True,False,False,False,Ultra fast charging,能银链 - Ultra fast charging,Ultra fast charging,62.32739771071437
