provider_place_id,provider_name,preferred_partner,name,longitude,latitude,street,city,region,postal_code,country_code,household_count,evs_access,reservable,evs_location,opening_hours_internal,open_24h,free_charge,auth_methods,payment_methods,entries,entry_exits,exits,notes,phone,url,picture_url,email,dyn_data,service_type,parking_slots,green_energy,floor_level,chargenow,yomi,status,legal_disclaimer,recent_use,operator_name,operator_id,suboperator_name,suboperator_id,verification_status,last_modified,num_dc_charge_points,num_ac_charge_points,max_dc_power,max_dc_amps,max_dc_volts,max_ac_power,max_ac_amps,max_ac_volts,typ1_count,typ2_count,typ3_count,typcn_count,typcndc_count,chademo_count,combotyp1_count,combotyp2_count,cee_count,station_name,district,p_ingestday,provider_id,Target_Date,Planned_Status
395815801_1101160114,CIS,,快充/慢充 特来电,116.62111,40.90255,市辖区怀柔区喇叭沟门满族乡喇叭沟门村北,北京市,北京市,,CN,,PUBLIC,NO,ALL,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn//teldimage/3b3d65ee8ef24381809f84aa6f8c3a1c.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,1,4,30.0,60.0,500.0,7.0,32.0,220.0,,,,4.0,1.0,,,,,特来电北京怀柔喇叭沟门卫生院充电站,怀柔区,2025-08-30,256,2026-05-10,Pending
313744932_333990,CIS,,快充/慢充 星星充电,117.126231,40.174236,平和街与平兴街交叉口东,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,EASY_CHARGE,CONTRACT,,,,,+86 400 828 0768,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://app-cdn.starcharge.com/27408ea0-8cc4-475b-bb5a-a44c1eb85602.JPG,,yes,Self-service,9,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,星星充电,CHA:5078046e5124cbb7ddb5ffbf48d64ccd,,,,2025-08-26 23:33:33.209793,6,3,60.0,120.0,750.0,7.0,32.0,253.0,,,,3.0,6.0,,,,,星星充电-平谷-联东U谷平谷科技园充电站,平谷区,2025-08-30,256,2026-05-20,Pending
324887859_ee11e3156ae842d98c733c235d1cd36c,CIS,,慢充 珠海驿联,116.503243,39.942488,朝阳区星火西路东200米东风苑1号院B2层,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 185 1033 5000,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://imagepd2.ev-z.com/chargeStationPicture/c26697e669a24691a748a74008cac86b.png,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,珠海驿联,CHA:035111436a4c339e43a366c9725affa0,,,,2025-08-26 23:33:33.209793,0,3,,,,7.0,32.0,220.0,,,,3.0,,,,,,北京朝阳东风苑1号院充电站,朝阳区,2025-08-30,256,2026-05-20,Pending
MA002TMQX_110117MA002TMQX0067,CIS,,快充 国家电网,117.049882,40.097512,东高村镇北张岱村北张岱路与北张岱中路交叉口北侧公共停车场,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,EASY_CHARGE,CONTRACT,,,,,+86 186 0137 6118,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://cdn-evone-oss.echargenet.com/zcContent/roadbook/3000000015456987766/6BC79F8F88A21EA210CC7A7F4C98E0B5_WR,,yes,Self-service,0,yes,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,国家电网,CHA:5d01957224895f00aa963c7b896dd8d2,,,,2025-08-26 23:33:33.209793,8,0,60.0,150.0,750.0,,,,,,,,8.0,,,,,北京市平谷区北张岱村充电站,平谷区,2025-08-30,256,2026-05-10,Pending
101437000_20938,CIS,,快充 小桔充电,116.679253,39.889643,玉桥街道玉桥西里中街柳岸方园 入口直行100米,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 135 8263 5330,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://s3-gz01.didistatic.com/epower-assets/upload/undefined/1870a768f9ad43fd9940973e522f42e4.jpeg,,yes,Self-service,44,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,小桔充电,CHA:24fd36632c112e6b90788e9ea473873f,,,,2025-08-26 23:33:33.209793,44,0,250.0,250.0,1000.0,,,,,,,,44.0,,,,,北京通州柳岸方园东侧充电站,通州区,2025-08-30,256,2026-06-01,Pending
MA1MY0GF9_168453,CIS,,快充/慢充 云快充,116.652492,39.913715,前上坡村路,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,CONTRACT,,,,,+86 400 828 8517,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",,,yes,Self-service,7,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,云快充,CHA:4d9747130d414f242146ba7633c35a78,,,,2025-08-26 23:33:33.209793,6,1,60.0,120.0,380.0,7.0,30.0,220.0,,,,1.0,6.0,,,,,前上坡村便民充电站,通州区,2025-08-30,256,2026-05-10,Pending
395815801_1101190343,CIS,,快充/慢充 特来电,115.970312,40.450211,市辖区延庆区延庆镇人民法院,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn/teldimage/134/mmexport164967044885120220411194652.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,1,3,30.0,125.0,750.0,7.0,32.0,220.0,,,,3.0,1.0,,,,,特来电北京市延庆区人民法院充电站,延庆区,2025-08-30,256,2026-06-01,Pending
MA01QPN39_2899,CIS,,慢充 利嘉智充,115.979053,40.461733,川北西社区44号楼45号楼,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 400 082 6699,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://gkd-prod-public-1304271637.cos.ap-beijing.myqcloud.com/fpchargethird/img/station/20252d0cb83949fdb3747e27095b4e3a.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,利嘉智充,CHA:4fea5ab204b917156892c96a08cd68ce,,,,2025-08-26 23:33:33.209793,0,7,,,,7.0,32.0,220.0,,,,7.0,,,,,,川北西社区44号楼45号楼充电站,延庆区,2025-08-30,256,2026-05-20,Pending
101437000_5354,CIS,3.0,快充 小桔充电,116.452749,39.79867,乐巢量贩式KTV(旧宫店) 场站东北侧,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,EASY_CHARGE,"CASH,CONTRACT",,,,,+86 137 1675 2083,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://charging-media.bmw-emall.cn/station/comment/2025-04-10/101437000_5354/1.jpg,,yes,Self-service,12,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,小桔充电,CHA:24fd36632c112e6b90788e9ea473873f,,,,2025-08-26 23:33:33.209793,12,0,120.0,250.0,750.0,,,,,,,,12.0,,,,,北京大兴中福大厦充电站,大兴区,2025-08-30,256,2026-05-20,Pending
324887859_1ccadf24d5cd4c639659378a6126ffa8,CIS,,快充 珠海驿联,116.108189,39.895775,门头沟区冯石环线与石龙南路交叉路口往西北约50米欢乐大都汇（地下停车场）,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 185 1033 5000,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,珠海驿联,CHA:035111436a4c339e43a366c9725affa0,,,,2025-08-26 23:33:33.209793,4,0,40.0,160.0,750.0,,,,,,,,4.0,,,,,北京门头沟欢乐大都汇充电站,门头沟区,2025-08-30,256,2026-05-10,Pending
MADD8G2W4_1101060005,CIS,2.0,超充/快充 逸安启,116.354465,39.860441,西铁营万达广场B3层E区，近E028号车位,北京市,北京市,,CN,,PUBLIC,NO,INDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,EASY_CHARGE,CONTRACT,,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.ionchi.com/teldimage/134/66e6a885eaff45ec8b43487b718445c4.jpg,,yes,Self-service,6,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,逸安启,CHA:8f94787a354778c0fade74a9ca73e85d,,,,2025-08-26 23:33:33.209793,6,0,360.0,600.0,1000.0,,,,,,,,6.0,,,,,逸安启超充站-北京西铁营万达广场,丰台区,2025-08-30,256,2026-05-15,Pending
320513112_10-994,CIS,,慢充 依威能源,116.639023,39.655775,采育镇福源路10号,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,依威能源,CHA:29a2e57083d64541a6731c3b908002e2,,,,2025-08-26 23:33:33.209793,0,12,,,,7.0,32.0,253.0,,,,12.0,,,,,,育新花园南里东车库,大兴区,2025-08-30,256,2026-06-01,Pending
MA1MY0GF9_34171,CIS,,慢充 云快充,115.904896,40.370706,康庄小区幸福园12号楼,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,CONTRACT,,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://wtayvyzzmyanm9vx-car-test.oss-cn-hangzhou.aliyuncs.com/1617612516177.jpg,,yes,Self-service,4,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,云快充,CHA:4d9747130d414f242146ba7633c35a78,,,,2025-08-26 23:33:33.209793,0,4,,,,7.0,33.0,245.0,,,,4.0,,,,,,康庄幸福园12号楼充电站,延庆区,2025-08-30,256,2026-06-01,Pending
395815801_1101060256,CIS,,快充/慢充 特来电,116.159021,39.865342,大灰厂东路北京市丰台区北宫镇大灰厂东路甲11号鑫园闻松台,北京市,北京市,,CN,,PUBLIC,NO,INDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn/teldimage/115/IMG202207111639562022071116460m.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,1,7,15.0,72.0,500.0,7.0,32.0,220.0,,,,7.0,1.0,,,,,特来电北京丰台鑫园小区闻松台充电站,丰台区,2025-08-30,256,2026-05-10,Pending
101437000_41113,CIS,,快充 小桔充电,116.213037,40.202713,马池口镇济泉慧康艾灸养生馆百泉庄旗舰店百泉花园,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 159 9372 7677,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://comppad.didistatic.com/static/comp-pad/e8856b7a4238f155.blob,,yes,Self-service,12,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,小桔充电,CHA:24fd36632c112e6b90788e9ea473873f,,,,2025-08-26 23:33:33.209793,13,0,600.0,600.0,1000.0,,,,,,,,13.0,,,,,京供华商百泉花园充电站,昌平区,2025-08-30,256,2026-06-01,Pending
395815801_1101120297,CIS,,快充/慢充 特来电,116.65204,39.831989,台湖大街13号台湖镇政府大街13号,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn/teldimage/115/73792d5248454e0d8c326d0b0980560am.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,4,3,60.0,120.0,500.0,7.0,32.0,220.0,,,,3.0,4.0,,,,,特来电北京通州区台湖镇人民政府充电站,通州区,2025-08-30,256,2026-06-01,Pending
MA1MY0GF9_220833,CIS,,慢充 云快充,116.665217,39.91046,新华东街134号非繁城品酒店（北京通州运河商务区店）,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,CONTRACT,,,,,+86 400 828 8517,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",,,yes,Self-service,5,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,云快充,CHA:4d9747130d414f242146ba7633c35a78,,,,2025-08-26 23:33:33.209793,0,5,,,,7.0,32.0,264.0,,,,5.0,,,,,,非繁城品酒店（北京通州运河商务区店）充电站,通州区,2025-08-30,256,2026-06-01,Pending
395815801_1101080286,CIS,,慢充 特来电,116.312991,39.950973,万寿寺路甲2号万寿寺路甲2号,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn/teldimage/134/IMG2021122310463120211223140949.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,0,10,,,,7.0,32.0,220.0,,,,10.0,,,,,,特来电北京万寿寺甲2号院充电站,海淀区,2025-08-30,256,2026-05-10,Pending
395815801_3101130221,CIS,,快充/慢充 特来电,121.381168,31.349055,市辖区宝山区顾村镇镜泊湖路,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn/teldimage/101/e7185609303643f3bfae2280a2b529ea.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,40,20,240.0,250.0,1000.0,7.0,32.0,220.0,,,,20.0,40.0,,,,,特来电快来充宝山顾村公园超充站,宝山区,2025-08-30,256,2026-05-10,Pending
MA2J378Y2_409215581315333,CIS,,慢充 宁波均胜,121.14755,31.02077,昆港公路1088号,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,CONTRACT,,,,,+86 400 999 7778,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://gw.joysonquin.com/common/file/download/409226777301061?409226777301061.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,宁波均胜,CHA:1b8cf5516158af40b0e1fcefde88cdff,,,,2025-08-26 23:33:33.209793,0,12,,,,7.0,32.0,220.0,,,,12.0,,,,,,上海光塑科技园北区充电站,松江区,2025-08-30,256,2026-06-01,Pending
MA59G0765_100206,CIS,,慢充 蔚景云,121.567596,30.866339,瞭海路159弄3号楼南侧车位,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 400 680 3880,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://assets.evking.cn/fileAssets/3DDCA3680D0E60802025732D6B849971_.png,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,蔚景云,CHA:cfe026a0e28054198372cfa9f8e70f10,,,,2025-08-26 23:33:33.209793,0,3,,,,7.0,32.0,220.0,,,,3.0,,,,,,名悦豪庭充电站,奉贤区,2025-08-30,256,2026-05-10,Pending
395815801_3101151252,CIS,,快充/慢充 特来电,121.913611,30.919925,市辖区浦东新区南汇新城镇城市书香商业街区,上海市,上海市,,CN,,PUBLIC,NO,INDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn/teldimage/115/909b86b2f90248769a362173b22b0763m.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,10,20,240.0,250.0,1000.0,7.0,32.0,220.0,,,,20.0,10.0,,,,,特来电上海爱琴海城市书香充电站,浦东新区,2025-08-30,256,2026-05-10,Pending
