provider_place_id,name,longitude,latitude,street,region,city,operator_name,num_dc_charge_points,num_ac_charge_points,max_dc_power,max_dc_amps,max_dc_volts,max_ac_power,max_ac_amps,max_ac_volts,typcn_count,typcndc_count,station_name,district,p_ingestday,Is_DC,Is_AC,Is_Mixed,Faulty_Station,station_type,brand_power_combination,station_type_str,dist_to_hotel_km,UC2
202918903_222,快充 驿满充电,106.65245,29.51436,茶园广福大道城南家园四组团附近,重庆市,重庆市,驿满充电,20,0,90.0,,,,,,,20.0,驿满茶园首末公交充电站,南岸区,2025-08-30,True,False,False,False,Fast charging,驿满充电 - Fast charging,Fast charging,inf,False
202918903_223,快充 驿满充电,106.65672,29.51165,茶园江南换乘枢纽公交站场内,重庆市,重庆市,驿满充电,60,0,120.0,,,,,,,60.0,驿满江南换乘枢纽公交充电站,南岸区,2025-08-30,True,False,False,False,Ultra fast charging,驿满充电 - Ultra fast charging,Ultra fast charging,inf,False
MACMP7389_1,快充 滨南时代,106.680891,29.520993,长生桥镇茶园经开区昌龙金开国际企业园滨南大厦,重庆市,重庆市,滨南时代,20,0,120.0,250.0,1000.0,,,,,20.0,滨南时代I滨南股份站,南岸区,2025-08-30,True,False,False,False,Ultra fast charging,滨南时代 - Ultra fast charging,Ultra fast charging,inf,False
MA5YPF3Y1_57,快充 智道,106.577819,29.517762,"烟雨路重庆四公里交通换乘枢纽内,江南二手市场西北138米",重庆市,重庆市,智道,20,0,60.0,,220.0,,,,,20.0,四公里充电站,南岸区,2025-08-30,True,False,False,False,Fast charging,智道 - Fast charging,Fast charging,inf,False
MA604H9G4_000017,快充 重庆交运,106.559506,29.531492,上海城长江旅游广场西北侧面,重庆市,重庆市,重庆交运,20,0,120.0,250.0,750.0,,,,,20.0,上海城紫微星超级充电站,南岸区,2025-08-30,True,False,False,False,Ultra fast charging,重庆交运 - Ultra fast charging,Ultra fast charging,inf,False
MACYCXCNX_EDA6937CBE134B0083FEDD2CE3348EBF,快充 愉秒充,106.505508,29.522317,阿兴记大饭店停车场,重庆市,重庆市,愉秒充,16,0,600.0,600.0,1000.0,,,,,16.0,愉秒充九龙坡奥体金龙超充站,九龙坡区,2025-08-30,True,False,False,False,High power charging,愉秒充 - High power charging,High power charging,inf,True
MA008CB97_56,快充 特瓦特,106.492261,29.53551,渝州路59号,重庆市,重庆市,特瓦特,34,0,600.0,600.0,1000.0,,,,,34.0,特瓦特石桥广场超充站,九龙坡区,2025-08-30,True,False,False,False,High power charging,特瓦特 - High power charging,High power charging,inf,True
MA604H9G4_000026,快充 重庆交运,106.471747,29.541631,显丰大道10旁(联芳派出所东南30米),重庆市,重庆市,重庆交运,28,0,600.0,600.0,1000.0,,,,,28.0,迅电快充(高九中润站),沙坪坝区,2025-08-30,True,False,False,False,High power charging,重庆交运 - High power charging,High power charging,inf,True
MABTWT5Y0_7509_JSCYC,快充 能银链,106.458197,29.532473,覃家岗街道表演培训中心金阳易诚国际,重庆市,重庆市,能银链,22,0,480.0,480.0,1000.0,,,,,22.0,川渝充凤天大道金阳易城超充站,沙坪坝区,2025-08-30,True,False,False,False,High power charging,能银链 - High power charging,High power charging,inf,True
MABTWT5Y0_17237_JSCYC,慢充 能银链,106.458227,29.5324,覃家岗街道表演培训中心金阳易诚国际,重庆市,重庆市,能银链,0,14,0.0,,,7.0,70.0,300.0,14.0,,川渝充凤天大道金阳易城慢充站,沙坪坝区,2025-08-30,False,True,False,False,Slow AC,能银链 - Slow AC,Slow AC,inf,False
M7LC9KM6N_902,快充 重庆中盾,106.493102,29.497203,九龙街道龙泉路中国石油九龙坡大堰站,重庆市,重庆市,重庆中盾,68,0,80.0,250.0,750.0,,,,,68.0,易安充马王场超级充电站,九龙坡区,2025-08-30,True,False,False,False,Fast charging,重庆中盾 - Fast charging,Fast charging,inf,False
MA5U5AQF6_5001160040,快充 重庆能投,106.438483,29.484741,龙门阵大道附近和谐居北44米,重庆市,重庆市,重庆能投,26,0,160.0,250.0,750.0,,,,,26.0,重庆能投龙门阵充电站,九龙坡区,2025-08-30,True,False,False,False,High power charging,重庆能投 - High power charging,High power charging,inf,True
MAC65JAA9_500107000000-00011,慢充 朗新新能源,106.442874,29.455222,【地下负一层】中冶仁和西里D1区 车库负一层 车位:1052 ~ 1066,重庆市,重庆市,朗新新能源,0,15,0.0,,,7.0,32.0,220.0,15.0,,小朗充电-中冶仁和西里一期D1区充电站,九龙坡区,2025-08-30,False,True,False,False,Slow AC,朗新新能源 - Slow AC,Slow AC,inf,False
MA604H9G4_000007,快充 重庆交运,106.46791,29.434538,半岛逸景室外停车场,重庆市,重庆市,重庆交运,25,0,60.0,366.0,750.0,,,,,25.0,电多多大渡口半岛逸景充电站,大渡口区,2025-08-30,True,False,False,False,Fast charging,重庆交运 - Fast charging,Fast charging,inf,False
795860556_395384,快充 重庆壳牌,106.479161,29.442233,八桥镇金桥路,重庆市,重庆市,重庆壳牌,100,0,180.0,,1000.0,,,,,100.0,壳牌大渡口金桥路充电站,大渡口区,2025-08-30,True,False,False,False,High power charging,重庆壳牌 - High power charging,High power charging,inf,True
202918903_299,快充 驿满充电,106.42033,29.56992,歌乐山公交站场内,重庆市,重庆市,驿满充电,12,0,160.0,160.0,750.0,,,,,12.0,驿满歌乐山公交充电站,沙坪坝区,2025-08-30,True,False,False,False,High power charging,驿满充电 - High power charging,High power charging,inf,True
M7LC9KM6N_873,快充 重庆中盾,106.443696,29.612225,温莎小镇嘉勤路路口旁,重庆市,重庆市,重庆中盾,6,0,160.0,240.0,1000.0,,,,,6.0,易安桩双碑嘉勤路超级充电站B区,沙坪坝区,2025-08-30,True,False,False,False,High power charging,重庆中盾 - High power charging,High power charging,inf,True
MAACCC4N8_1583282752684310529,快充 重庆小马爱冲,106.380913,29.652929,土主大川国际建材城六区5栋旁,重庆市,重庆市,重庆小马爱冲,42,0,240.0,,750.0,,,,,42.0,土主大川国际建材城小马爱冲充电站,沙坪坝区,2025-08-30,True,False,False,False,High power charging,重庆小马爱冲 - High power charging,High power charging,inf,True
MA7LC9KM6_23278,快充 易安桩,106.325408,29.405027,双福街道107省道,重庆市,重庆市,易安桩,20,0,160.0,250.0,1000.0,,,,,20.0,易安桩新鹏达双福公交充电站,江津区,2025-08-30,True,False,False,False,High power charging,易安桩 - High power charging,High power charging,inf,True
MA7LC9KM6_30297,快充 易安桩,106.273005,29.380064,双福街道重庆利源达铝业有限公司,重庆市,重庆市,易安桩,12,0,80.0,120.0,500.0,,,,,12.0,易安桩团结湖充电站,江津区,2025-08-30,True,False,False,False,Fast charging,易安桩 - Fast charging,Fast charging,inf,False
MA002TMQX_300019400100000019,快充 国家电网,106.263389,29.311534,圣泉街道浒溪南路,重庆市,重庆市,国家电网,6,0,120.0,160.0,750.0,,,,,6.0,重庆市江津区圣泉供电所充电站,江津区,2025-08-30,True,False,False,False,Ultra fast charging,国家电网 - Ultra fast charging,Ultra fast charging,inf,False
MABW6URA5_31214,快充 成都亿嘉电,106.32822,29.31136,西彭镇铝城大道52号尚江宸溪香苑,重庆市,重庆市,成都亿嘉电,20,0,120.0,228.0,1000.0,,,,,20.0,亿嘉电西彭铝城大道充电站,九龙坡区,2025-08-30,True,False,False,False,Ultra fast charging,成都亿嘉电 - Ultra fast charging,Ultra fast charging,inf,False
MA59G0765_122886,快充 蔚景云,106.387877,29.240951,支坪镇金钩湾路75号,重庆市,重庆市,蔚景云,2,0,120.0,160.0,1000.0,,,,,2.0,悦充美江津区支坪初级中学校北充电站,江津区,2025-08-30,True,False,False,False,Ultra fast charging,蔚景云 - Ultra fast charging,Ultra fast charging,inf,False
MA7GR9MQ9_500116YACDG,快充 易安充,106.227162,29.243254,江津储粮南200米（鲁花南路）,重庆市,重庆市,易安充,20,0,160.0,15.0,250.0,,,,,20.0,江津区德感充电站,江津区,2025-08-30,True,False,False,False,High power charging,易安充 - High power charging,High power charging,inf,True
MA5UNPAN9_MA5UNPAN9500120004,快充 渝快充,106.154956,29.410374,惠民路214号（圆通速递）,重庆市,重庆市,渝快充,2,0,120.0,160.0,380.0,,,,,2.0,渝快充丁家圆通充电站,璧山区,2025-08-30,True,False,False,False,Ultra fast charging,渝快充 - Ultra fast charging,Ultra fast charging,inf,False
MA020EMFX_50011801203001,快充 达克云,105.93092,29.32922,凤凰大道12号,重庆市,重庆市,达克云,54,0,120.0,250.0,750.0,,,,,54.0,大雷永川长和星街充电站,永川区,2025-08-30,True,False,False,False,Ultra fast charging,达克云 - Ultra fast charging,Ultra fast charging,inf,False
313744932_9471024,快充 星星充电,105.825294,29.402821,川恒物流充电站,重庆市,重庆市,星星充电,4,0,400.0,,1000.0,,,,,4.0,川恒物流充电站,永川区,2025-08-30,True,False,False,False,High power charging,星星充电 - High power charging,High power charging,inf,True
MAD4EBRC0_MAD4EBRC0_144,快充 开鑫充,105.639508,29.416155,西南家具批发城,重庆市,重庆市,开鑫充,20,0,250.0,250.0,1000.0,,,,,20.0,【开鑫】重庆荣昌西南家具城充电站,荣昌区,2025-08-30,True,False,False,False,High power charging,开鑫充 - High power charging,High power charging,inf,True
101437003_MAD4EBRC0_144,快充 开鑫充电,105.639508,29.416155,西南家具批发城,重庆市,重庆市,开鑫充电,20,0,250.0,250.0,1000.0,,,,,20.0,【开鑫】重庆荣昌西南家具城充电站,荣昌区,2025-08-30,True,False,False,False,High power charging,开鑫充电 - High power charging,High power charging,inf,True
395815801_5001530003,快充 特来电,105.632073,29.432142,市辖区荣昌区荣昌北站黄金坡枢纽站,重庆市,重庆市,特来电,17,0,150.0,250.0,750.0,,,,,17.0,特来电重庆荣昌客运站充电站,荣昌区,2025-08-30,True,False,False,False,High power charging,特来电 - High power charging,High power charging,inf,False
MA603XYL2_16,快充 智泊惠,105.610748,29.415396,重庆市荣昌区迎宾大道,重庆市,重庆市,智泊惠,12,0,120.0,120.0,1000.0,,,,,12.0,鲲鹏充电人民广场站,荣昌区,2025-08-30,True,False,False,False,Ultra fast charging,智泊惠 - Ultra fast charging,Ultra fast charging,inf,False
MA5GE23CX_959,慢充 一码YiMa,105.62,29.4,昌州街道昌州大道中段38号,重庆市,重庆市,一码YiMa,0,3,0.0,,,7.0,,,3.0,,重庆荣昌奇瑞汽车城,荣昌区,2025-08-30,False,True,False,False,Slow AC,一码YiMa - Slow AC,Slow AC,inf,False
MA1MY0GF9_98770,快充 云快充,105.791366,29.909996,卧佛镇独田村1组122号卧佛满庭芳宴席厅旁,重庆市,重庆市,云快充,12,0,480.0,480.0,1000.0,,,,,12.0,潼福新能源汽车充电站,潼南区,2025-08-30,True,False,False,False,High power charging,云快充 - High power charging,High power charging,inf,True
395815801_5001520006,快充 特来电,105.851053,30.067614,市辖区潼南区田家镇104县道,重庆市,重庆市,特来电,7,0,120.0,250.0,1000.0,,,,,7.0,中石化龙禹新能源顺阗充电站（重庆市潼南区）,潼南区,2025-08-30,True,False,False,False,Ultra fast charging,特来电 - Ultra fast charging,Ultra fast charging,inf,False
MA5DT8Q54_5001130021,快充 南网电动,106.804665,29.558681,重庆市巴南区木洞镇星池路,重庆市,重庆市,南网电动,18,0,120.0,250.0,750.0,,,,,18.0,重庆国际生物城充电站,巴南区,2025-08-30,True,False,False,False,Ultra fast charging,南网电动 - Ultra fast charging,Ultra fast charging,inf,False
MA5U5AQF6_5001150013,快充 重庆能投,106.991538,29.818827,晏家街道化北路望变成套设备厂C区,重庆市,重庆市,重庆能投,20,0,120.0,250.0,380.0,,,,,20.0,重庆能投晏家望变充电站,长寿区,2025-08-30,True,False,False,False,Ultra fast charging,重庆能投 - Ultra fast charging,Ultra fast charging,inf,False
MACMP7389_3,快充 滨南时代,107.728429,29.869799,滨江西路与商业路交叉口北80米,重庆市,重庆市,滨南时代,20,0,80.0,213.0,750.0,,,,,20.0,滨南时代I丰都希玙站,丰都县,2025-08-30,True,False,False,False,Fast charging,滨南时代 - Fast charging,Fast charging,inf,False
795860556_9393644,快充 重庆壳牌,107.754444,30.649046,双桂街道湖光路,重庆市,重庆市,重庆壳牌,12,0,120.0,,750.0,,,,,12.0,壳牌梁平双桂湖充电站,梁平区,2025-08-30,True,False,False,False,Ultra fast charging,重庆壳牌 - Ultra fast charging,Ultra fast charging,inf,False
MA002TMQX_300019400100000015,快充 国家电网,108.118625,30.738294,分水镇鑫诚饭庄,重庆市,重庆市,国家电网,4,0,160.0,250.0,750.0,,,,,4.0,重庆市万州区分水镇鑫诚饭庄充电站,万州区,2025-08-30,True,False,False,False,High power charging,国家电网 - High power charging,High power charging,inf,True
MAC3JRJ77_MAC3JRJ7724060000790,快充 库仑,108.40449,30.759544,龙都街道厦门大道174号龙都中兴花园,重庆市,重庆市,库仑,30,0,120.0,250.0,1000.0,,,,,30.0,随时充万州区厦门大道充电站,万州区,2025-08-30,True,False,False,False,Ultra fast charging,库仑 - Ultra fast charging,Ultra fast charging,inf,False
MA5UNPAN9_MA5UNPAN9500101002,快充 渝快充,108.404779,30.764135,科龙路88号（999大酒楼前面）,重庆市,重庆市,渝快充,8,0,180.0,160.0,380.0,,,,,8.0,渝快充万州红星美凯龙充电站,万州区,2025-08-30,True,False,False,False,High power charging,渝快充 - High power charging,High power charging,inf,True
MAC8RLGG3_56,快充 吉智能源,109.876554,31.088772,巫峡民兵汽车修配厂上行500米龙潭名都,重庆市,重庆市,吉智能源,16,0,120.0,250.0,1000.0,,,,,16.0,重庆巫山龙潭名都网约车超充站,巫山县,2025-08-30,True,False,False,False,Ultra fast charging,吉智能源 - Ultra fast charging,Ultra fast charging,inf,False
054290189_100342,快充 小飞象,106.993543,29.098325,南平镇工业园区亮森木门,重庆市,重庆市,小飞象,10,0,60.0,200.0,750.0,,,,,10.0,重庆电飞侠南神路超充站,南川区,2025-08-30,True,False,False,False,Fast charging,小飞象 - Fast charging,Fast charging,inf,False
